id,title,created,modified
1,"1.1b. Use Common, Proper, and Possessive Nouns.",9/15/2013 21:11:11,9/15/2013 22:26:01
3,"1.1e. Use Verbs to Convey a Sense of Past, Present, and Future.",9/15/2013 21:50:16,9/15/2013 22:26:32
2,1.1c. Use Singular and Plural Nouns with Matching Verbs in Basic Sentences.,9/15/2013 21:39:49,9/15/2013 22:26:57
4,"1.1g. Conjunctions (And, But, Or, So, Because).",9/15/2013 21:59:58,9/15/2013 22:27:06
5,1.1h. Use Determiners.,9/15/2013 22:14:38,9/15/2013 22:27:14
6,1.1i. Use Frequently Occurring Prepositions.,9/15/2013 22:25:34,9/15/2013 22:27:33
7,1.2a. Capitalize Dates and Names of People.,9/15/2013 22:37:08,9/15/2013 22:37:08
9,2.1a. Use Collective Nouns.,9/15/2013 22:45:38,9/15/2013 22:45:38
10,2.1b. Use Irregular Plural Nouns.,9/15/2013 22:48:44,9/15/2013 22:48:44
11,2.1c. Use Reflexive Pronouns.,9/15/2013 23:03:16,9/15/2013 23:03:16
12,2.1d. Form and Use the Past Tense of Frequently Occurring Irregular Verbs.,9/15/2013 23:17:32,9/15/2013 23:17:32
13,2.1e. Use Adjectives and Adverbs.,9/15/2013 23:33:08,9/15/2013 23:33:08
15,2.2c. Use an Apostrophe to Form Contractions.,9/15/2013 23:58:51,9/15/2013 23:58:51
16,4.1a. Use relative pronouns and relative adverbs.,9/19/2013 1:52:17,9/19/2013 1:52:17
17,4.1b. Form and use the progressive verb tenses.,9/19/2013 2:28:32,9/19/2013 2:28:32
18,4.1c. Use modal auxiliaries to convey various conditions.,9/19/2013 2:39:51,9/19/2013 2:39:51
19,4.1e. Form and use prepositional phrases.,9/19/2013 2:48:04,9/19/2013 2:48:04
20,4.1g. Correctly use frequently confused words.,9/19/2013 2:54:15,9/19/2013 2:54:15
21,4.2a. Use correct capitalization.,9/19/2013 3:29:08,9/19/2013 3:29:08
23,6.1a. Ensure that pronouns are in the proper case.,9/19/2013 19:19:35,9/19/2013 19:19:35
24,6.1b Use intensive pronouns.,9/19/2013 19:58:15,9/19/2013 19:58:15
25,6.1c Recognize and correct inappropriate shifts in pronoun number and person.,9/19/2013 19:58:30,9/19/2013 19:58:30
26,6.1d Recognize and correct vague pronouns.,9/19/2013 19:58:51,9/19/2013 19:58:51
27,"6.2a Use punctuation (commas, parentheses, dashes) to set off nonrestrictive/parenthetical elements.",9/19/2013 19:59:08,9/19/2013 19:59:08
28,111. Shackleton Rules,9/21/2013 20:57:32,9/21/2013 20:57:32
14,"2.2a. Capitalize Holidays, Product Names, and Geographic Names.",9/15/2013 23:54:16,9/23/2013 23:42:39
29,M1. Using Spacing with Punctuation.,10/4/2013 3:55:56,10/4/2013 3:55:56
30,3.1g. Form and use comparative and superlative adjectives and adverbs.,10/13/2013 19:42:16,10/13/2013 19:42:16
31,3.2a. Capitalize appropriate words in titles.,10/13/2013 19:58:35,10/13/2013 19:58:35
32,3.2b. Use commas in addresses.,10/13/2013 20:01:22,10/13/2013 20:01:22
33,3.2c. Use commas and quotation marks in dialogue.,10/13/2013 20:04:21,10/13/2013 20:04:21
35,5.1e. Use correlative conjunctions.,10/13/2013 20:29:20,10/13/2013 20:29:20
36,5.2a. Use punctuation to separate items in a series.,10/13/2013 20:58:41,10/13/2013 20:58:41
37,"5.2c. Use a comma for yes and no, tag questions, and addressing people.",10/13/2013 21:03:47,10/13/2013 21:03:47
38,5.2b. Use a comma to separate an introductory element from the rest of the sentence.,10/13/2013 21:04:39,10/13/2013 21:04:39
39,5.1b2. Past Participles.,10/23/2013 2:23:34,10/23/2013 2:23:34
40,"7.1c. Place Phrases and Clauses Within a Sentence, Recognizing and Correcting Misplaced and Dangling Modifiers. ",10/23/2013 20:36:13,10/23/2013 20:36:58
41,7.2a. Use a Comma to Separate Coordinate Adjectives.,10/23/2013 23:57:17,10/23/2013 23:57:51
42,8.1b. Form and use verbs in the active and passive voice.,10/29/2013 2:25:17,10/29/2013 2:25:38
43,8.1d. Recognize and correct inappropriate shifts in verb voice and mood.,10/30/2013 22:01:00,10/30/2013 22:01:00
44,8.2b. Use an ellipsis to indicate an omission.,10/31/2013 0:23:49,10/31/2013 0:23:49
45,M0. Welcome to Quill.,11/4/2013 1:35:12,11/4/2013 1:35:12
47,9-10.1a. Use parallel structure.,11/10/2013 0:51:30,11/10/2013 0:51:30
48,University: Commonly Confused Words 1,11/11/2013 0:22:44,11/11/2013 0:22:44
49,University: Commonly Confused Words 2,11/11/2013 0:23:26,11/11/2013 0:23:26
50,University: Commonly Confused Words 3,11/11/2013 0:23:34,11/11/2013 0:23:34
51,University: Commonly Confused Words 4,11/11/2013 0:23:45,11/11/2013 0:23:45
52,University: Commonly Confused Words 5,11/11/2013 0:23:54,11/11/2013 0:23:54
53,Vocabulary,11/14/2013 4:28:08,11/14/2013 4:28:08
54,University: Quoting Direct Speech,11/17/2013 20:37:30,11/17/2013 20:37:30
55,Images,12/10/2013 21:51:04,12/10/2013 21:51:04
56,2.1d Irregular Past Tense Verbs with Images,12/10/2013 21:51:52,12/10/2013 21:53:12
46,Messy Sentences,11/9/2013 21:46:09,12/13/2013 18:38:01
8,1.2c. Use Commas in Dates and to Separate Single Words in a Series,9/15/2013 22:42:39,3/7/2014 18:56:25
57,M2,4/22/2014 15:37:12,4/22/2014 15:37:12
34,3.2d. Form and Use Possessives.,10/13/2013 20:11:53,8/11/2014 18:45:29
62,Peter's Testing Work,10/14/2014 21:19:07,10/14/2014 21:19:07